year,month,interest_rate,unemployment_rate,index_price
2023,1,5.8,7.8,17800
2023,2,5.9,7.7,18050
2023,3,6.0,7.6,18200
2023,4,6.1,7.4,18500
2023,5,6.2,7.3,18750
2023,6,6.3,7.2,19000
2023,7,6.2,7.3,18900
2023,8,6.3,7.1,19250
2023,9,6.4,7.0,19500
2023,10,6.3,7.1,19350
2023,11,6.4,6.9,19800
2023,12,6.5,6.8,20100
2024,1,6.4,6.9,20050
2024,2,6.5,6.7,20400
2024,3,6.6,6.6,20750
2024,4,6.7,6.5,21000
2024,5,6.6,6.6,20850
2024,6,6.7,6.4,21200
2024,7,6.8,6.3,21500
2024,8,6.7,6.4,21350
2024,9,6.8,6.2,21800
2024,10,6.7,6.3,21650
2024,11,6.9,6.1,22050
2024,12,7.0,6.0,22400
2025,1,6.9,6.1,22350
2025,2,7.0,5.9,22700
2025,3,7.1,5.8,23050
2025,4,7.2,5.7,23400
2025,5,7.1,5.8,23200
2025,6,7.2,5.6,23650
2025,7,7.3,5.5,24000
2025,8,7.2,5.6,23850
2025,9,7.3,5.4,24300
2025,10,7.2,5.5,24100
2025,11,7.4,5.3,24600
2025,12,7.5,5.2,25000
