Weight,Height
74.2,178.8
55.8,160.0
77.5,183.1
49.8,153.9
64.8,169.0
66.5,172.7
51.2,151.2
72.9,174.5
56.0,159.9
50.1,150.3
79.8,186.3
54.9,157.0
84.5,193.1
53.5,154.4
81.2,188.1
76.9,182.8
70.5,174.1
71.2,174.8
79.4,187.3
68.5,176.0
74.8,181.7
58.9,163.0
51.0,153.6
57.8,162.5
70.4,178.6
56.3,159.4
59.8,162.0
69.1,177.4
53.2,157.7
61.4,167.1
85.2,194.5
72.6,180.8
82.3,187.9
50.5,151.4
59.7,164.2
86.9,192.4
83.1,189.4
63.2,167.8
85.7,191.2
58.1,161.1
68.2,175.3
87.3,190.4
63.6,168.0
72.5,172.9
52.8,154.1
70.8,178.2
78.6,185.6
60.9,167.2
86.0,194.8
82.7,188.7
49.5,150.5
66.8,174.2
57.6,162.0
63.9,169.6
66.5,170.4
59.2,161.9
65.8,172.5
88.5,189.2
60.3,163.4
54.0,156.9
75.4,184.3
68.9,173.9
49.2,150.0
86.0,191.8
83.4,189.5
50.2,152.6
83.1,189.5
65.5,171.9
51.3,153.1
52.5,155.8
64.0,171.4
82.9,189.3
64.1,169.0
73.6,182.8
55.8,159.1
72.3,179.2
63.8,169.7
58.7,160.1
60.5,165.2
57.2,159.9
51.5,153.2
84.6,190.7
83.2,188.7
72.4,180.1
56.8,159.6
70.5,175.7
66.0,171.3
53.1,158.6
52.0,154.4
65.8,171.0
73.8,182.8
49.0,154.4
62.2,168.1
60.3,161.2
54.6,158.6
58.9,162.5
60.5,161.2
83.0,188.8
72.4,174.8
81.2,187.6
