Height,Weight
175.7,72.8
183.2,78.9
184.2,86.2
191.2,90.4
185.0,79.5
180.0,76.2
186.2,85.8
168.6,65.9
173.0,68.7
183.3,84.3
177.3,74.1
170.2,66.3
170.8,72.4
179.6,82.7
182.6,87.1
178.4,73.5
173.6,69.8
167.0,70.2
170.0,68.1
159.9,60.3
173.6,75.4
171.2,71.5
154.2,55.6
163.8,67.9
173.1,74.2
164.3,62.7
181.0,84.9
175.2,73.6
155.8,57.9
180.0,79.4
166.3,68.8
163.1,63.5
167.0,66.2
174.3,77.6
158.8,59.7
173.3,70.8
168.1,65.5
168.4,69.7
175.8,78.3
180.0,81.2
171.6,72.3
171.1,69.6
178.1,80.5
154.8,56.8
183.1,85.7
172.7,73.1
177.9,76.4
160.0,63.2
169.2,66.9
171.0,72.0
161.4,61.7
173.2,75.9
171.4,69.9
171.5,73.2
168.1,67.4
165.1,64.1
159.0,58.3
165.5,67.2
162.9,63.9
167.5,66.8
184.7,83.6
173.8,71.2
186.6,87.9
180.5,78.6
172.5,70.4
171.0,71.8
164.9,66.5
171.0,73.4
177.0,77.1
168.0,65.8
163.7,62.9
188.9,89.3
176.7,75.6
190.3,91.2
177.3,74.8
178.9,79.6
152.4,54.2
170.6,68.7
182.5,83.2
171.3,70.5
154.1,56.3
165.8,68.9
172.6,72.7
